Week,Asha Bhosle,Mohammed Rafi,Kishore Kumar,Kumar Sanu,Alka Yagnik
11/13/22,18,43,55,35,18
11/20/22,17,44,53,34,17
11/27/22,19,44,55,35,18
12/4/22,18,40,50,34,20
12/11/22,18,42,53,35,19
12/18/22,16,44,53,33,17
12/25/22,16,44,54,34,18
1/1/23,16,40,48,32,17
1/8/23,16,39,46,31,17
1/15/23,15,36,44,30,17
1/22/23,15,35,43,28,17
1/29/23,15,36,45,29,21
2/5/23,14,36,44,31,17
2/12/23,12,33,41,27,16
2/19/23,13,34,43,31,16
2/26/23,14,34,42,29,15
3/5/23,13,31,42,27,16
3/12/23,13,34,44,27,15
3/19/23,12,31,42,29,17
3/26/23,12,27,40,25,15
4/2/23,10,28,42,26,15
4/9/23,10,28,40,25,16
4/16/23,12,29,43,26,19
4/23/23,12,34,42,28,20
4/30/23,11,34,43,27,15
5/7/23,9,35,45,27,17
5/14/23,11,39,45,28,21
5/21/23,12,38,46,29,19
5/28/23,13,35,43,29,19
6/4/23,13,35,43,31,16
6/11/23,13,36,45,29,18
6/18/23,12,35,44,27,18
6/25/23,12,34,43,26,17
7/2/23,12,33,45,31,34
7/9/23,11,35,43,31,31
7/16/23,11,33,42,30,26
7/23/23,13,32,46,29,24
7/30/23,13,42,51,30,22
8/6/23,15,38,48,30,22
8/13/23,13,37,43,27,20
8/20/23,12,34,41,27,21
8/27/23,13,36,43,27,22
9/3/23,16,32,39,25,19
9/10/23,14,31,40,25,21
9/17/23,14,30,39,24,16
9/24/23,14,33,40,23,17
10/1/23,13,34,44,26,20
10/8/23,12,32,43,26,20
10/15/23,12,28,33,36,17
10/22/23,11,32,39,35,17
10/29/23,13,33,44,34,19
11/5/23,14,33,47,36,20
11/12/23,11,34,44,33,17
11/19/23,13,34,44,30,18
11/26/23,14,33,44,32,19
12/3/23,14,35,42,32,17
12/10/23,16,35,45,32,18
12/17/23,15,37,46,32,18
12/24/23,14,40,49,31,16
12/31/23,15,37,47,29,18
1/7/24,14,36,41,29,17
1/14/24,12,34,42,27,16
1/21/24,11,31,39,25,15
1/28/24,12,31,42,28,19
